STN,YYYYMMDD,TG,SP,DR
  225,20231214,     ,     ,     
  225,20231215,     ,     ,     
  225,20231216,     ,     ,     
  225,20231217,     ,     ,     
  225,20231218,     ,     ,     
  225,20231219,     ,     ,     
  225,20231220,     ,     ,     
  225,20231221,     ,     ,     
  225,20231222,     ,     ,     
  225,20231223,     ,     ,     
  225,20231224,     ,     ,     
  225,20231225,     ,     ,     
  225,20231226,     ,     ,     
  225,20231227,     ,     ,     
  225,20231228,     ,     ,     
  225,20231229,     ,     ,     
  225,20231230,     ,     ,     
  225,20231231,     ,     ,     
  225,20240101,     ,     ,     
  225,20240102,     ,     ,     
  225,20240103,     ,     ,     
  225,20240104,     ,     ,     
  225,20240105,     ,     ,     
  225,20240106,     ,     ,     
  225,20240107,     ,     ,     
  225,20240108,     ,     ,     
  225,20240109,     ,     ,     
  225,20240110,     ,     ,     
  225,20240111,     ,     ,     
  225,20240112,     ,     ,     
  225,20240113,     ,     ,     
  225,20240114,     ,     ,     
  225,20240115,     ,     ,     
  225,20240116,     ,     ,     
  225,20240117,     ,     ,     
  225,20240118,     ,     ,     
  225,20240119,     ,     ,     
  225,20240120,     ,     ,     
  225,20240121,     ,     ,     
  225,20240122,     ,     ,     
  225,20240123,     ,     ,     
  225,20240124,     ,     ,     
  225,20240125,     ,     ,     
  225,20240126,     ,     ,     
  225,20240127,     ,     ,     
  225,20240128,     ,     ,     
  225,20240129,     ,     ,     
  225,20240130,     ,     ,     
  225,20240131,     ,     ,     
  225,20240201,     ,     ,     
  225,20240202,     ,     ,     
  225,20240203,     ,     ,     
  225,20240204,     ,     ,     
  225,20240205,     ,     ,     
  225,20240206,     ,     ,     
  225,20240207,     ,     ,     
  225,20240208,     ,     ,     
  225,20240209,     ,     ,     
  225,20240210,     ,     ,     
  225,20240211,     ,     ,     
  225,20240212,     ,     ,     
  225,20240213,     ,     ,     
  225,20240214,     ,     ,     
  225,20240215,     ,     ,     
  225,20240216,     ,     ,     
  225,20240217,     ,     ,     
  225,20240218,     ,     ,     
  225,20240219,     ,     ,     
  225,20240220,     ,     ,     
  225,20240221,     ,     ,     
  225,20240222,     ,     ,     
  225,20240223,     ,     ,     
  225,20240224,     ,     ,     
  225,20240225,     ,     ,     
  225,20240226,     ,     ,     
  225,20240227,     ,     ,     
  225,20240228,     ,     ,     
  225,20240229,     ,     ,     
  225,20240301,     ,     ,     
  225,20240302,     ,     ,     
  225,20240303,     ,     ,     
  225,20240304,     ,     ,     
  225,20240305,     ,     ,     
  225,20240306,     ,     ,     
  225,20240307,     ,     ,     
  225,20240308,     ,     ,     
  225,20240309,     ,     ,     
  225,20240310,     ,     ,     
  225,20240311,     ,     ,     
  225,20240312,     ,     ,     
  225,20240313,     ,     ,     
  225,20240314,     ,     ,     
  225,20240315,     ,     ,     
  225,20240316,     ,     ,     
  225,20240317,     ,     ,     
  225,20240318,     ,     ,     
  225,20240319,     ,     ,     
  225,20240320,     ,     ,     
  225,20240321,     ,     ,     
  225,20240322,     ,     ,     
  225,20240323,     ,     ,     
  225,20240324,     ,     ,     
  225,20240325,     ,     ,     
  225,20240326,     ,     ,     
  225,20240327,     ,     ,     
  225,20240328,     ,     ,     
  225,20240329,     ,     ,     
  225,20240330,     ,     ,     
  225,20240331,     ,     ,     
  225,20240401,     ,     ,     
  225,20240402,     ,     ,     
  225,20240403,     ,     ,     
  225,20240404,     ,     ,     
  225,20240405,     ,     ,     
  225,20240406,     ,     ,     
  225,20240407,     ,     ,     
  225,20240408,     ,     ,     
  225,20240409,     ,     ,     
  225,20240410,     ,     ,     
  225,20240411,     ,     ,     
  225,20240412,     ,     ,     
  225,20240413,     ,     ,     
  225,20240414,     ,     ,     
  225,20240415,     ,     ,     
  225,20240416,     ,     ,     
  225,20240417,     ,     ,     
  225,20240418,     ,     ,     
  225,20240419,     ,     ,     
  225,20240420,     ,     ,     
  225,20240421,     ,     ,     
  225,20240422,     ,     ,     
  225,20240423,     ,     ,     
  225,20240424,     ,     ,     
  225,20240425,     ,     ,     
  225,20240426,     ,     ,     
  225,20240427,     ,     ,     
  225,20240428,     ,     ,     
  225,20240429,     ,     ,     
  225,20240430,     ,     ,     
  225,20240501,     ,     ,     
  225,20240502,     ,     ,     
  225,20240503,     ,     ,     
  225,20240504,     ,     ,     
  225,20240505,     ,     ,     
  225,20240506,     ,     ,     
  225,20240507,     ,     ,     
  225,20240508,     ,     ,     
  225,20240509,     ,     ,     
  225,20240510,     ,     ,     
  225,20240511,     ,     ,     
  225,20240512,     ,     ,     
  225,20240513,     ,     ,     
  225,20240514,     ,     ,     
  225,20240515,     ,     ,     
  225,20240516,     ,     ,     
  225,20240517,     ,     ,     
  225,20240518,     ,     ,     
  225,20240519,     ,     ,     
  225,20240520,     ,     ,     
  225,20240521,     ,     ,     
  225,20240522,     ,     ,     
  225,20240523,     ,     ,     
  225,20240524,     ,     ,     
  225,20240525,     ,     ,     
  225,20240526,     ,     ,     
  225,20240527,     ,     ,     
  225,20240528,     ,     ,     
  225,20240529,     ,     ,     
  225,20240530,     ,     ,     
  225,20240531,     ,     ,     
  235,20231201,   -3,   88,    6
  235,20231202,    6,   42,    8
  235,20231203,   12,   23,   60
  235,20231204,   22,   20,   12
  235,20231205,   20,    0,   22
  235,20231206,   41,   33,    0
  235,20231207,   10,   33,    0
  235,20231208,   52,    0,   37
  235,20231209,   81,    0,   60
  235,20231210,   93,   13,   87
  235,20231211,   88,   20,   19
  235,20231212,   74,    0,   31
  235,20231213,   71,    0,   10
  235,20231214,   62,   29,    7
  235,20231215,   85,   22,    0
  235,20231216,   96,    0,    0
  235,20231217,   98,   36,    0
  235,20231218,   99,    0,   16
  235,20231219,   94,    0,  159
  235,20231220,   91,   18,   36
  235,20231221,   96,   20,   17
  235,20231222,   82,    8,   13
  235,20231223,  100,    0,   37
  235,20231224,  111,    0,   39
  235,20231225,  103,   15,   67
  235,20231226,   75,   13,    0
  235,20231227,   72,    0,   44
  235,20231228,  105,    8,    7
  235,20231229,   95,   12,    0
  235,20231230,   84,   16,    0
  235,20231231,   84,   14,   51
  235,20240101,   81,    9,   47
  235,20240102,   96,    9,  135
  235,20240103,   88,   12,   40
  235,20240104,   61,    5,   44
  235,20240105,   61,    6,   57
  235,20240106,   35,    9,    6
  235,20240107,   11,   45,    0
  235,20240108,   -1,   17,    0
